Property,Descriptions,中文名称,新描述
status,"HTTP Error code extension; Indication of the availability of the caledar period (e.g.: available, booked, etc.); Indication of the availability of the calendar period (e.g.: available, booked, etc.); Possible values for the state of a CheckCredential task; Status of the interaction (opened, inProgress, completed); Status of the operation; Status of the payment; Status of the payment method; Status of the payment plan (effective, ineffective); The condition of the GeographicSite, such as planned, underConstruction, cancelled, active, inactive, former; The condition of the account, such as due, paid, in arrears.; The current status of the agreement. Typical values are: in process, approved and rejected; The current status of the agreement. Typical values are: in process, approved, rejected; The current status of the service problem. Possible values are Submitted, Rejected, Acknowledged, In Progress [Held, Pending], Resolved, Closed, and Cancelled.; The milestone status; The status of party revenue Share report item detail; The status of the risk assessment, such as Succeeded, In Progress, Failed, output from the task; The status of this profile (for example: created, terminated, etc.); Used to indicate the current lifecycle status of this digital identity (unknown, active, suspended, archived).; Used to track the lifecycle status of the party role.; Used to track the lifecycle status of the partyRoleSpecification.; error code extension like sys-ABC-2001; status of shipping order item. e.g ""active"" , ""savedForLater""",状态,表示一个对象当前的业务或生命周期状态，例如“活动”、“已解决”、“已批准”等。
source,0,来源,事件或数据的来源系统或组件。
reportingSystem,0,报告系统,上报该事件或数据的系统名称。
timeOccurred,The time the event occurred.,发生时间,事件发生的具体时间。
analyticCharacteristic,Collection of analytic characteristics,分析特征,用于数据分析的一组特征或属性。
version,Version of the product offering,版本,实体（如产品目录）的版本号。
relationshipType,The type of relationship,关系类型,定义了两个实体之间关系的确切类型，例如“依赖于”、“捆绑于”。
unitOfMeasure,"A length, surface, volume, dry measure, liquid measure, money, weight, time, and the like. In general, a determinate quantity or magnitude of the kind designated, taken as a standard of comparison for others of the same kind, in assigning to them numerical values, as 1 foot, 1 yard, 1 mile, 1 square foot.",计量单位,数量的计量单位，例如“GB”、“分钟”、“元”。
regex,A regular expression constraint for given value,正则表达式,用于验证一个值是否符合特定格式的正则表达式规则。
rangeInterval,"An indicator that specifies the inclusion or exclusion of the valueFrom and valueTo attributes. If applicable, possible values are ""open"", ""closed"", ""closedBottom"" and ""closedTop"".",范围区间,定义一个数值范围是开区间还是闭区间（例如是否包含边界值）。
valueFrom,The low range value that a characteristic can take on,范围起始值,一个数值范围的下限。
valueTo,The upper range value that a characteristic can take on,范围结束值,一个数值范围的上限。
isDefault,"If true, the Boolean Indicates if the value is the default value for a characteristic",是否为默认值,一个布尔值，表明该值是否为对应特征的默认值。
externalIdentifier,"List of external identifieers for the offering, e.g. identifier in source catalog",外部标识符,实体在其他外部系统中的ID列表。
attachment,"Complements the description of an element (for instance a product) through video, pictures...",附件,通过图片、视频、文档等形式对实体进行补充说明的附件列表。
contactMedium,"Collection of contact information; Collection of contact mediums; Information contact related to the quote requester; List of contact mediums for the contact, such as mobile phone number, email addreess, etc.; List of means for contacting the party, e.g. mobile phone, email address",联系方式,一个实体（如客户、地点）的联系方式列表，例如电话、邮箱等。
characteristic,"A characteristic that refines the relationship. For example, consider the relationship between broadband and TV. For a 4k TV it is important to know the minimum bandwidth to support 4k, so a characteristic Resolution might be defined on the relationship to allow capturing of this in the inventory",特征 / 属性,描述实体（如产品、服务、关系）更详细特性的“名称-值”对列表。
isBundle,"isBundle determines whether a productOffering represents a single productOffering (false), or a bundle of productOfferings (true).",是否为组合产品,一个布尔值，表明一个产品目录是代表单个产品（false）还是一个组合套餐（true）。
url,"Uniform Resource Locator, is a web page address (a subset of URI)",链接地址,指向一个网络资源的URL地址。
lastUpdate,Date and time of the last update,最后更新时间,实体信息最后一次被更新的日期和时间。
creationDate,Date at which the job was created,创建日期,实体被创建的日期和时间。
place,Place defines the places where the products are sold or delivered.,地点,定义产品销售或交付的地点。
partyName,The name of the engaged party that is linked to the PartyRole object.,参与方名称,关联的参与方角色（PartyRole）所对应的参与方（Party）的名称。
partyId,The identifier of the engaged party that is linked to the PartyRole object.,参与方ID,关联的参与方角色（PartyRole）所对应的参与方（Party）的ID。
lifecycleStatus,Used to indicate the current lifecycle status,生命周期状态,用于表示实体当前所处的生命周期阶段，例如“设计中”、“活动”、“已废弃”。
agreement,"An agreement represents a contract or arrangement, either written or verbal and sometimes enforceable by law, such as a service level agreement or a customer price agreement. An agreement involves a number of other business entities, such as products, services, and resources and/or their specifications.",协议,与实体相关的协议或合同的引用。
account,Collection of accounts; List of accounts of a customer.; Reference to the accounts that are linked to the payment method. May be a party account or a financial account.,账户,与实体（如客户、支付方式）关联的账户列表。
paymentMethod,Collection of payment methods; List of payment methods of a customer.,支付方式,与实体（如客户、订单）关联的支付方式列表。
statusReason,A string providing a complementary information on the value of the lifecycle status attribute.,状态原因,对当前lifecycleStatus（生命周期状态）的补充说明。
engagedParty,The parties that sign the agreement and are bound by its terms,签约方,签署了协议并受其条款约束的参与方。
mimeType,a technical characterization of the attachment content format using IETF Mime Types,MIME类型,附件内容的媒体类型，遵循IETF标准，例如image/jpeg， application/pdf。
attachmentType,"a business characterization of the purpose of the attachment, for example logo, instructionManual, contractCopy",附件类型,附件的业务用途分类，例如“公司Logo”、“使用手册”、“合同副本”。
creditProfile,Collection of credit profiles,信用档案,参与方的信用评分和信用状况信息列表。
content,"The actual contents of the attachment object, if embedded, encoded as base64",内容,当附件内容被内嵌在API消息中时，这里存放经过Base64编码后的实际内容。
note,The note(s) that are associated to the ticket.,备注,与实体（如故障单）关联的备注信息列表。
size,0,大小,附件或文件的大小，通常以字节（Byte）为单位。
partyRoleSpecification,0,参与方角色规约,定义了参与方角色（PartyRole）的模板或蓝图。
state,"Contains the lifecycle state such as: Active, Closed, Suspended and so on.; Current state of the operation task; Current status of the authorization, for example in process, approved, rejected.; Defines the alarm state during its life cycle (raised, updated, cleared).; Indicates the current status of the credential, such as whether it is Active (The credential is currently active and can be used for authentication.), Inactive (The credential is inactive and cannot be used for authentication. This status might occur if the user requested to deactivate the credential temporarily), Expired (The credential has passed its expiration date and cannot be used for authentication. Users may need to renew or update their credential to regain access.), Locked (The credential has been temporarily locked due to multiple failed authentication attempts or security policy violations. This status prevents the credential from being used until it's unlocked by an administrator or through a predefined process.), Revoked (The credential has been permanently revoked, usually due to security concerns or policy violations. Once revoked, the credential cannot be used for authentication and may require additional actions to reinstate.) Pending (The credential is awaiting approval or activation. This status is common for newly created credentials that require administrative review or user verification before becoming active.), Suspended )The credential has been temporarily suspended, often due to a security investigation or compliance issue. While suspended, the credential cannot be used for authentication until the suspension is lifted.), Disabled (Similar to inactive, this status indicates that the credential is currently disabled and cannot be used for authentication. However, unlike inactive, disabled status may imply a more permanent state or administrative action.), Unverified (The credential has been created but not yet verified. Users may need to complete additional steps to verify their identity before the credential becomes active.), Compromised (The credential has been compromised or suspected of being compromised. This status is used to indicate potential security breaches, and immediate action is required to mitigate risks, such as resetting the credential or investigating further). This property determines if the credential is valid and trustworthy at the time of verification.; Represents the current lifecycle status of the digital identity, such as Active (Represents a valid and currently accessible digital identity. Users with an active status can log in, access resources, and perform authorized actions.), Inactive (Indicates that a digital identity is temporarily disabled or not in use. Users with an inactive status cannot log in or access resources until reactivated.), Locked (A status triggered by multiple failed login attempts. A locked identity prevents further login until an administrator intervenes or a specified time elapses.), Suspended (Denotes a temporary suspension due to policy violations or other reasons. Users with a suspended status cannot perform actions until the suspension is lifted.), Pending Approval (Refers to newly created identities awaiting approval from administrators. These identities are not yet fully active.), Expired (Indicates that an identity's validity period has lapsed. Users with an expired status need to renew their credentials or revalidate their identity.), Terminated (Represents a permanently disabled identity. Users with a “terminated” status no longer have access rights.). It reflects whether the identity is valid and can be used for authentication or authorization.; State of the CheckProductConfiguration item (e.g.: accepted, rejected).; State of the CheckProductOfferingQualification item : described in the state machine diagram; State of the CheckServiceQualificationItem: described in the state machine diagram; State of the Problem Acknowledgement task (acknowledged, inProgress, terminatedWithError, done); State of the Problem Group task (acknowledged, inProgress, terminatedWithError, done); State of the Problem Unacknowledgement task (acknowledged, inProgress, terminatedWithError, done); State of the Problem Ungroup task (acknowledged, inProgress, terminatedWithError, done); State of the QueryProductConfiguration item (e.g.: accepted, rejected).; State of the authorization, such as: approved or declined; The Monitor state of the resource.  InProgress, InError, Completed; The Monitor state of the resource.  inProgress, inError, completed; The current status of the shipment.; Used to indicate the current lifecycle state of this credential (like active, inactive, expired).",（生命周期）状态 / 状态机状态,通常指对象在一个预定义的生命周期或状态机中所处的具体阶段，例如告警的“已触发”、“已清除”状态。
category,"Business category : intervention for example or to be more precise after SalesIntervention, orderDeliveryIntervention,...; Category of the bill produced : normal, duplicate, interim, last, trial customer or credit note for example; Category of the concrete resource. e.g Gold, Silver for MSISDN concrete resource; Category of the target resource like NetworkConnectivity, PhysicalLinks, Generic, L2Network and so on.; Classifier for the problem. Settable. For example, this is used for distinguish the category of problem originator in [role].[category] format. Example: serviceProvider.declarer, supplier.originated, system.originated; Collection of categories applicable; Is it a customer facing or resource facing service; List of categories for this candidate; List of child categories in the tree for in this category; List of root categories contained in this catalog; List of service categories associated with this catalog; NOT USED YET IN OPEN GATEWAY CONTEXT.; The categories in which this candidate is exposed; The category resource is used to group product offerings, service and resource candidates in logical containers. Categories can contain other (sub-)categories and/or product offerings.; The category resource is used to group product offerings, service and resource candidates in logical containers. Categories can contain other categories and/or product offerings, resource or service candidates.; The category resource is used to group product specifications in logical containers. Categories can contain other categories and/or other catalog entries.; Used to categorize the order from a business perspective that can be useful for the OM system (e.g. ""enterprise"", ""residential"", ...); Used to categorize the order, useful for the OM system, such as: Broadband, TVOption; Used to categorize the quote from a business perspective that can be useful for the CRM system (e.g. ""enterprise"", ""residential"", ...)",分类 / 类别,用于从业务角度对实体进行分类，例如订单的“企业”或“住宅”类别，资源的“金牌”、“银牌”等级。
code,"Application relevant detail, defined in the API or a common list.",代码,与应用相关的详细代码，通常用于表示错误码或状态码。
bbox,A bounding box array that contains the geometry. The axes order follows the axes order of the geometry,边界框 (GeoJSON),GeoJSON标准格式：一个定义几何图形边界范围的坐标数组。
contactType,Type of the contact medium to qualify it like pro email / personal email. This is not used to define the contact medium used.,联系方式类型,对联系方式的分类，例如“工作邮箱”、“个人邮箱”。
partyOrPartyRole,0,参与方或角色,一个灵活的模型，既可以表示一个参与方（Party），也可以表示其扮演的角色（PartyRole）。
preferred,"If true, indicates that is the preferred contact medium",是否首选,一个布尔值，表明这是否是首选的联系方式。
externalReference,"List of identifiers of the Party in an external system, for example when party information is imported from a commerce system",外部引用,参与方在外部系统中的标识符列表。
partyCharacteristic,List of additional characteristics that a Party can take on.,参与方特征,参与方可以拥有的额外特征或属性列表。
taxExemptionCertificate,"List of tax exemptions granted to the party. For example, a war veteran might have partial exemption from state tax and a full exemption from federal tax",免税证明,授予参与方的免税证明信息列表。
creditRating,"List of credit profiles and scores for the party, typically received from an external credit broker",信用评级,参与方的信用评级和评分列表，通常来自外部信用机构。
reason,Explanation of the reason for the error which can be shown to a client user.,原因,对错误原因的解释说明，可以展示给客户端用户。
product,A list of product; A reference to the product whose consumption is managed by the bucket . This is an array to allow scenarios where a buckets are shared between different products; Collection of products; List of orders of a customer.; The list of products indirectly referred by this agreement item (since an agreement item refers primarily to product offerings); The partner product of revenue sharing,产品,与实体相关的产品实例列表或引用。
intent,0,意图,描述一个期望达成的目标状态或业务目的。
city,The city,城市,地址信息中的城市名称。
stateOrProvince,State or province,州/省,地址信息中的州或省份名称。
country,The country,国家,地址信息中的国家名称。
query,Used to scope the exported data,查询条件,用于限定导出数据范围的查询语句。
constraint,This is a list of constraint references applied to this specification,约束,应用于某个规约（Specification）的约束规则列表。
countryCode,"Country codes are short alphabetic or numeric geographical codes (geocodes) developed to represent countries and dependent areas, for use in data processing and communications. Several different systems have been developed to do this. The term country code frequently refers to ISO 3166-1 alpha-2 or international dialing codes, the E.164 country calling codes.",国家代码,代表国家或地区的短代码，通常指ISO 3166-1 alpha-2标准（两位字母代码）。
calendar,Collection of calendar items,日历,一组定义了可用性或计划的日历项。
siteRelationship,Collection of site siteRelationships,站点关系,描述地理站点之间关系的列表。
intentSpecification,0,意图规约,定义了意图（Intent）的模板或蓝图。
callback,The callback being registered.,回调地址,用于接收事件通知的回调URL。
otherName,List of other names by which this individual is known,曾用名/别名,个人已知的其他名称列表，例如婚前姓氏或艺名。
owner,Name of the external system that owns the entity.,所有者,拥有该实体的外部系统的名称。
tradingName,Name that the organization (unit) trades under,商号,组织用于商业交易的名称。
nameType,"Type of the name : Co, Inc, Ltd, etc.",名称类型,名称的类型，例如公司名称、法定名称等。
externalIdentifierType,"Type of the identification, typically would be the type of the entity within the external system",外部标识符类型,外部标识符的类型，通常对应外部系统中的实体类型。
streetName,Name of the street or other street type,街道名称,地址信息中的街道名称。
geographicSubAddress,Collection of sub addresses,子地址,地址内部更详细的部分，如公寓号、楼层号等。
locality,"An area of defined or undefined boundaries within a local authority or other legislatively defined area, usually rural or semi rural in nature. [ANZLIC-STREET], or a suburb, a bounded locality within a city, town or shire principally of urban character [ANZLICSTREET]",地区/区域,地址中比城市更小的行政区域，例如市辖区、郊区。
streetNr,Number identifying a specific property on a public street. It may be combined with streetNrLast for ranged addresses,门牌号,街道上的具体门牌号码。
productOffering,List of product offerings that are referred to by the category,产品目录 / 可销售产品,与实体（如分类）关联的可销售产品列表。
streetNrSuffix,the first street number suffix,门牌号后缀,门牌号的后缀，例如“A座”。
streetNrLast,Last number in a range of street numbers allocated to a property,门牌号范围结束值,当地址是一个范围时，这是范围的结束门牌号。
streetType,"alley, avenue, boulevard, brae, crescent, drive, highway, lane, terrace, parade, place, tarn, way, wharf ",街道类型,街道的类型，例如“路”、“大道”、“胡同”。
streetSuffix,A modifier denoting a relative direction,街道后缀,街道名称的后缀，通常表示方向，如“东段”。
streetNrLastSuffix,Last street number suffix for a ranged address,门牌号范围结束值后缀,范围地址中，结束门牌号的后缀。
geographicLocation,0,地理位置,使用坐标（如经纬度）描述一个对象的地理位置。
geographicAddressType,"Classification of the address, e.g., residential, industrial ",地理地址类型,地址的分类，例如“住宅地址”、“商业地址”或“邮寄地址”。
timeOcurred,The time the event occured.,发生时间,事件发生的具体时间点。
givenName,First name of the individual,名,个人的名字（First Name）。
familyName,Contains the non-chosen or inherited name. Also known as last name in the Western context,姓,个人的姓氏（Last Name）。
preferredGivenName,"Contains the chosen name by which the individual prefers to be addressed. Note: This name may be a name other than a given name, such as a nickname",偏好名 (昵称),个人希望被称呼的名字，可能是昵称或其他非正式名称。
middleName,Middles name or initial,中间名,个人的中间名或其首字母缩写。
generation,"e.g.. Sr, Jr, III (the third)",辈分 (代),姓名中的辈分或代际后缀，例如 Sr. (父)， Jr. (子)， III (三世)。
legalName,Legal name or birth name (name one has for official purposes),法定姓名,个人在官方文件上使用的法定姓名或出生姓名。
formattedName,"A fully formatted name in one string with all of its pieces in their proper place and all of the necessary punctuation. Useful for specific contexts (Chinese, Japanese, Korean)",格式化全名,一个将所有姓名部分按正确顺序和标点组合好的完整字符串，常用于特定文化背景（如中文、日文）。
relatedEntity,"An entity that is related to the ticket such as a bill, a product, etc. The entity against which the ticket is associated.",关联实体,与当前实体相关的另一个实体，例如与故障单相关的产品或账单。
specCharacteristic,List of characteristics that the entity can take,规约特征,实体可以拥有的一组特征，这些特征在对应的规约（Specification）中定义。
aristocraticTitle,"e.g. Baron, Graf, Earl",贵族头衔,姓名中的贵族或其他荣誉头衔，例如“男爵”、“伯爵”。
familyNamePrefix,Family name prefix,姓氏前缀,姓氏中的前缀部分，例如荷兰姓氏中的“van der”。
amount,"Time interval (number of seconds, minutes, hours, etc.)",数量/时长,一个数值，当与时间单位一起使用时，通常表示持续时长。
startDate,Is the date from which the product starts,开始日期,产品或服务开始生效的日期。
message,More details and corrective actions related to the error which can be shown to a client user.,消息/详情,对错误的详细解释以及建议的修正操作，可直接展示给用户。
expression,Expression language command,表达式,一段可供系统评估的表达式命令或脚本，用于实现动态逻辑。
statusChangeDate,The date and time the status changed.,状态变更日期,对象状态最后一次发生变更的日期和时间。
billingAccount,A reference to a billing account to provide quote context information ,计费账户,用于为报价单提供上下文信息的计费账户引用。
organizationType,"Type of Organization (company, department...)",组织类型,组织的类型，例如“公司”、“部门”、“非营利组织”。
isEnabled,True if this feature is enabled. Default is true.,是否启用,一个布尔值，表明某个功能当前是否已激活或启用。
policyConstraint,Reference to manage a list of feature specification policy constraints,策略约束,应用于某个功能规格的一组策略约束的引用。
isLegalEntity,"If value is true, the organization is a legal entity known by a national referential.",是否为法人实体,一个布尔值，表明一个组织是否为国家认可的法人实体。
organizationIdentification,"List of official identifiers given to the organization, for example company number in the registry of companies",组织标识,授予组织的官方标识列表，例如工商注册号。
targetEntitySchema,0,目标实体结构,描述目标实体的结构（Schema）和类型（Type）。
entitySpecRelationship,Relationship to another specification,实体规约关系,与另一个规约（Specification）的关系。
resourceSpecification,The ResourceSpecification is required to realize a ProductSpecification.,资源规约,实现一个产品规格（ProductSpecification）所需依赖的资源规约。
gender,Gender,性别,个人的性别。
existsDuring,0,存在时间段,实体存在或有效的生命周期时间段。
deathDate,Date of death,逝世日期,个人的逝世日期。
organizationChildRelationship,"List of organizations that are contained within this organization. For example if this organization is the Legal Department, the child organizations might include Claims, Courts, Contracts",子组织关系,该组织下属的子组织列表，例如“法务部”下可以有“合同组”。
maritalStatus,"Marital status (married, divorced, widow ...)",婚姻状况,个人的婚姻状况，例如“已婚”、“离异”。
nationality,Nationality,国籍,个人的国籍。
skill,List of skills exhibited by the individual,技能,个人所具备的技能列表。
organizationParentRelationship,0,父组织关系,该组织的上一级父组织，例如“市场部”的父组织是“总公司”。
isHeadOffice,"If value is true, the organization is the head office",是否为总部,一个布尔值，表明该组织是否为总部。
location,Temporary current location of the individual (may be used if the individual has approved its sharing),位置,个人的临时当前位置（需个人授权共享）。
disability,List of disabilities suffered by the individual,残障信息,个人所患有的残障情况列表。
languageAbility,List of national languages known by the individual,语言能力,个人所掌握的语言能力列表。
individualIdentification,"List of official identifications issued to the individual, such as passport, driving licence, social security number",个人标识,授予个人的官方身份证明列表，例如护照、驾照、社保号。
placeOfBirth,Reference to the place where the individual was born,出生地点,个人出生的地点引用。
productSpecification,Relationship to Product specification; The PartyRevSharingModel associated product specifications,产品规格,与实体（如产品、协议）关联的产品规格或模板。
birthDate,Birth date,出生日期,个人的出生日期。
productOrderItem,A list of order item references corresponded to this alert; A list of order item references corresponded to this error; A reference to the Product Order items that involved this Product.; An identified part of the order. A product order is decomposed into one or more order items.; Collection of product order items; Product Order Item,产品订单项,产品订单中的一个具体项目，描述了要对哪个产品执行何种操作（如新增、修改）。
productOfferingPrice,"An amount, usually of money, that is asked for or allowed when a ProductOffering is bought, rented, or leased. The price is valid for a defined period of time and may not represent the actual price paid by a customer.",产品价格,可销售产品（Product Offering）的定价信息，可能包含一次性、周期性及按量计费等多种价格。
countryOfBirth,Country where the individual was born,出生国家,个人出生的国家。
associationSpec,0,关联规约,定义实体间关联关系的规约或模板。
context,A string used to give a context to the intent,上下文,为意图（Intent）提供背景信息的字符串。
identificationType,"Identification type (passport, national identity card, drivers license, social security number, birth certificate)",标识类型,身份证明的类型，例如“护照”、“身份证”、“驾照”。
issuingDate,Date at which the identifier was issued,签发日期,身份证明的签发日期。
identificationId,Identifier,标识号码,身份证明上的唯一号码。
issuingAuthority,"Authority which has issued the identifier, such as: social security, town hall",签发机构,身份证明的签发机构，例如“公安局”、“社保局”。
path,URL of the root resource acting as the source for streaming content to the file specified by the export job,路径,作为数据导出源的根资源的URL。
parentSpecificationHref,Hyperlink reference to the parent specification containing the target characteristic,父规约链接,包含目标特征的父规约的URL链接。
parentSpecificationId,Unique identifier of the parent specification containing the target characteristic,父规约ID,包含目标特征的父规约的唯一ID。
referenceError,URI of documentation describing the error.,错误参考文档,指向描述该错误的文档的URL。
intentRelationship,A list of intents related to this intent,意图关系,与此意图相关的其他意图的列表。
channel,A list of sales channels in which this action is allowed; for instance Remove might be allowed only in an assisted channel not in a self-service channel,渠道,允许执行某个操作的销售渠道列表，例如某些操作可能只允许在人工渠道进行。
organization,0,组织,与实体相关的组织信息。
featureCharacteristic,This is a list of Characteristics for a particular feature.,功能特征,某个特定功能的特征或属性列表。
minCardinality,"The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.",最小基数,一个特征值可以拥有的最少实例数。
type,Type of promotion.The basic type is Award/Discount/Reduction. More types can be extended in future.,类型,促销活动的类型，例如“奖励”、“折扣”或“降价”。
featureRelationship,Collection of feature relationships,功能关系,描述不同功能之间的关系。
maxCardinality,"The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.",最大基数,一个特征值可以拥有的最多实例数。
siteFeature,Collection of site features,站点功能,地理站点的功能或设施列表，例如“有WiFi覆盖”。
siteCategory,Site classification/category.,站点分类,地理站点的分类，例如“数据中心”、“营业厅”。
priceType,"A category that describes the price, such as recurring, discount, allowance, penalty, and so forth.",价格类型,描述价格的类别，例如“一次性费用”、“周期性费用”、“折扣”、“罚金”等。
price,0,价格,价格的详细信息。
coordinates,0,坐标 (GeoJSON),GeoJSON标准格式：定义几何图形位置的坐标数组。
supportingResource,"A list of supporting resources (SupportingResource [*]). A collection of resources that support this resource (bundling, link ResourceSpecification)",支撑资源,支撑当前资源的一组其他资源，例如捆绑的资源。
date,Date of the note,日期,备注的创建日期。
agreementItem,Collection of agreement items that involves this Product.; Collection of agreements; The PartyRevSharingModelItemInvolvement associated agreement items; The items and clauses that make up the agreement,协议项,构成协议的具体条款或项目列表。
isUnique,"Specifies if the value of this characteristic is unique across all entities instantiated from the specification that uses this characteristc. For example, consider a ProductSpecification for a set-top box, with a CharacteristicSpecification cardID. Each set-top box must have a different value for cardID, so this isUnique attribute would be set to true for the characteristic.",是否唯一,一个布尔值，表明一个特征的值在所有实例中是否必须是唯一的（例如序列号）。
extensible,An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for a resource.,是否可扩展,一个布尔值，表明一个特征的值是否可以在实例化时进行扩展（添加新值）。
@valueSchemaLocation,This (optional) field provides a link to the schema describing the value type.,@值结构位置,一个可选的URL链接，指向一个定义该属性值（value）具体结构的文件。
characteristicValueSpecification,"A CharacteristicValueSpecification object is used to define a set of attributes, each of which can be assigned to a corresponding set of attributes in a CharacteristicSpecification object. The values of the attributes in the CharacteristicValueSpecification object describe the values of the attributes that a corresponding Characteristic object can take on.",特征值规约,定义了一个特征可以接受的值的规则，例如值的范围、单位或格式。
charSpecRelationship,"An aggregation, migration, substitution, dependency or exclusivity relationship between/among Specification Characteristics.",特征规约关系,描述不同特征规约之间的关系，如聚合、替代或依赖关系。
configurable,"If true, the Boolean indicates that the target Characteristic is configurable",是否可配置,一个布尔值，表明目标特征在实例化后是否可以被用户配置或修改。
characteristicSpecificationId,Unique identifier of the characteristic within the specification,特征规约ID,特征在所属规约内的唯一ID。
recurringChargePeriod,"Could be month, week...",周期性费用周期,周期性费用的计费周期，例如“月”、“周”、“年”。
orderDate,Is the date when the product was ordered,订购日期,产品被订购的日期。
resourceVersion,A field that identifies the specific version of an instance of a resource.,资源版本,标识一个资源实例的具体版本号。
action,The name of the action,动作,需要执行的动作名称。
format,"Standard/Regulatory definition identifier. e.g., ISO 3166-1",格式,标准或规范的定义标识符，例如 ISO 3166-1。
operationalState,0,操作状态/运行状态,资源的实际运行状态，由资源自身决定，例如enabled（可用）、disabled（不可用）。
startDateTime,"Start of the time period, using IETC-RFC-3339 format",开始日期时间,时间段的开始时间，遵循IETC-RFC-3339格式。
units,"Unit of time (seconds, minutes, hours, etc.)",单位,时间的单位，例如“秒”、“分钟”、“小时”。
endDateTime,"End of the time period, using IETC-RFC-3339 format",结束日期时间,时间段的结束时间，遵循IETC-RFC-3339格式。
text,Text of the note,文本内容,备注的具体文本内容。
author,Author of the note,作者,备注的创建者。
lifecycleState,The life cycle state of the document.,生命周期状态,文档的生命周期状态，例如“草稿”、“已发布”、“已归档”。
productRelationship,Collection of product relationships,产品关系,描述不同产品实例之间的关系列表。
terminationDate,Is the date when the product was terminated,终止日期,产品被终止服务的日期。
resourceStatus,0,资源状态,资源的复合状态，通常结合了管理状态、运行状态和使用状态。
endOperatingDate,A date time( DateTime). The date till the resource is operating,运行结束日期,资源停止运行的日期时间。
from,A string containing a JSON Pointer value.,来源路径 (JSON Patch),在JSON Patch操作中，用于move或copy操作的源路径。
op,The operation to be performed,操作 (JSON Patch),JSON Patch操作的类型，例如add、remove、replace。
usageState,0,使用状态,资源当前的使用情况，由资源使用者决定，例如idle（空闲）、active（活动）、busy（繁忙）。
resourceOrderItem,A list of resource order items related to this resource,资源订单项,与此资源相关的资源订单项列表。
startOperatingDate,A date time( DateTime). The date from which the resource is operating,运行开始日期,资源开始投入运行的日期和时间。
resourceCharacteristic,0,资源特征,描述一个资源实例具体特性的“名称-值”对列表。
resourceRelationship,0,资源关系,描述此资源与其他资源之间的关系列表。
