Schema,Descriptions,中文名称,新描述
AccountRef,Account reference. A account may be a party account or a financial account.,账户引用,用于简要引用一个账户，可以是客户账户或财务账户。
Feature,,功能特性,描述产品或服务的一个具体功能或组成部分。
TaxDefinition,,税收定义,定义一种税收的详细信息，例如税种、税率。
TaxExemptionCertificate,,免税证明,描述一个客户的免税资格证明信息。
OrganizationIdentification,,组织标识,组织的身份证明文件信息，例如营业执照号码。
IndividualIdentification,,个人标识,个人的身份证明文件信息，例如身份证号码、护照号码。
PartyCreditProfile,,参与方信用档案,记录一个参与方（个人或组织）的信用信息，如信用评分和有效期。
PartyOrPartyRole,,参与方或角色,一个灵活的模型，既可以表示一个参与方（Party），也可以表示其扮演的角色（PartyRole）。
OrganizationRef,,组织引用,用于简要引用一个组织。
CreditProfile,,信用档案,描述信用状况的通用模型，包括信用评分、风险评级等。
PartyRoleSpecificationRef,Party role specification reference. A party role specification gives additional details on the part played by a party in a given context.,参与方角色规约引用,用于简要引用一个参与方角色的模板或定义（规约）。
PartyRole,,参与方角色,描述一个参与方（Party）在特定业务场景下扮演的角色，例如“客户”、“账单联系人”。
RelatedPartyOrPartyRole,,关联参与方或角色,用于描述与当前实体相关的某个参与方或其角色，并定义他们之间的关系。
Party,,参与方,表示一个独立的实体，可以是一个人（Individual）或一个组织（Organization）。
NumberArrayCharacteristicValueSpecification,,数字数组特征值规约,CharacteristicValueSpecification的具体实现，用于为数字数组类型的特征值定义规则。
NumberCharacteristicValueSpecification,,数字特征值规约,CharacteristicValueSpecification的具体实现，用于为数字类型的特征值定义规则。
ObjectArrayCharacteristicValueSpecification,,对象数组特征值规约,CharacteristicValueSpecification的具体实现，用于为对象数组类型的特征值定义规则。
ObjectCharacteristicValueSpecification,,对象特征值规约,CharacteristicValueSpecification的具体实现，用于为对象类型的特征值定义规则。
EmailContactMedium,,邮件联系方式,专门用于表示电子邮件地址的联系方式。
Intent,,意图,描述一个期望达成的目标状态或业务目的，而不是具体的操作步骤。
Disability,Lack or inadequate strength or ability.,残障信息,用于记录个人的残障信息，例如残障类型和有效期。
IntentRefOrValue,Intent Ref (if Intent already exists) or Value (if Intent be created or its details be presented),意图引用或值,一个灵活的模型，既可以包含一个完整的意图信息（值），也可以只包含对一个已存在意图的引用。
BusinessPartner,When business partner is the BusinessPartner ,业务合作伙伴,特指在业务关系中作为合作伙伴的参与方（Party）。
Consumer,,消费者,特指作为产品或服务最终消费者的参与方（Party）。
StringCharacteristicValueSpecification,,字符串特征值规约,CharacteristicValueSpecification的具体实现，用于为字符串类型的特征值定义规则。
IntegerCharacteristicValueSpecification,,整数特征值规约,CharacteristicValueSpecification的具体实现，用于为整数类型的特征值定义规则。
BooleanArrayCharacteristicValueSpecification,,布尔数组特征值规约,CharacteristicValueSpecification的具体实现，用于为布尔数组类型的特征值定义规则。
IntegerArrayCharacteristicValueSpecification,,整数数组特征值规约,CharacteristicValueSpecification的具体实现，用于为整数数组类型的特征值定义规则。
OtherNameOrganization,,组织曾用名,记录一个组织的其他名称，例如曾用名或商号。
OtherNameIndividual,"Keeps track of other names, for example the old name of a woman before marriage or an artist name.",个人曾用名,记录个人的其他名称，例如婚前姓氏、别名或艺名。
OrganizationParentRelationship,,父组织关系,描述一个组织与其父组织（如母公司）之间的关系。
PhoneContactMedium,,电话联系方式,专门用于表示电话号码的联系方式。
Organization,,组织,描述一个组织或公司的详细信息，例如名称、类型、法律地位等。
OrganizationChildRelationship,,子组织关系,描述一个组织与其子组织（如子公司）之间的关系。
OrganizationStateType,Valid values for the lifecycle state of the organization,组织状态类型,定义一个组织在其生命周期中所处的各种状态，例如“已验证”、“已关闭”等。
TargetProductSchema,The reference object to the schema and type of target product which is described by product specification,目标产品结构,描述产品规格所定义的目标产品的结构（Schema）和类型（Type）。
Skill,Skills evaluated for an individual with a level and possibly with a limited validity when an obsolescence is defined (Ex: the first-aid certificate first level is limited to one year and an update training is required each year to keep the level).,技能,描述个人掌握的技能及其等级和有效期，例如急救证书每年都需要更新。
Supplier,When business partner is the Supplier ,供应商,特指在业务关系中作为供应商的参与方（Party）。
Producer,,生产商,特指在业务关系中作为产品或服务生产商的参与方（Party）。
LanguageAbility,Ability of an individual to understand or converse in a language.,语言能力,描述个人对某种语言的理解和沟通能力，包括读、写、听、说等级。
StringArrayCharacteristicValueSpecification,,字符串数组特征值规约,CharacteristicValueSpecification的具体实现，用于为字符串数组类型的特征值定义规则。
Individual,,个人,描述一个自然人的详细信息，例如姓名、出生日期、国籍等。
IndividualStateType,Valid values for the lifecycle state of the individual,个人状态类型,定义一个个人在其生命周期中所处的各种状态，例如“已验证”、“已停用”等。
BooleanCharacteristicValueSpecification,,布尔特征值规约,CharacteristicValueSpecification的具体实现，用于为布尔值（true/false）类型的特征值定义规则。
FloatArrayCharacteristic,,浮点数组特征,Characteristic的具体实现，其值必须是浮点数数组。
ProductSpecificationRef,,产品规格引用,用于简要引用一个产品规格（Product Specification），即产品的设计蓝图或模板。
Duration,A time interval in a given unit of time,持续时长,表示一个以特定单位（如天、小时）计量的时间长度。
GeographicAddressRef,Reference to a Geographic Address.,地理地址引用,用于简要引用一个结构化的地理地址。
GeographicAddressContactMedium,,地址联系方式,专门用于表示邮寄地址的联系方式。
FaxContactMedium,,传真联系方式,专门用于表示传真号码的联系方式。
ProductOfferingPriceRef,,产品价格引用,用于简要引用产品目录（Product Offering）中的一个价格或价格计划。
MapCharacteristicValueSpecification,,映射表特征值规约,CharacteristicValueSpecification的具体实现，用于为映射表（键值对）类型的特征值定义规则。
FloatCharacteristicValueSpecification,,浮点数特征值规约,CharacteristicValueSpecification的具体实现，用于为浮点数类型的特征值定义规则。
MapArrayCharacteristicValueSpecification,,映射表数组特征值规约,CharacteristicValueSpecification的具体实现，用于为映射表数组类型的特征值定义规则。
FloatArrayCharacteristicValueSpecification,,浮点数组特征值规约,CharacteristicValueSpecification的具体实现，用于为浮点数组类型的特征值定义规则。
ConstraintRef,,约束引用,用于简要引用一个约束规则或条件。
ChannelRef,"The channel to which the resource reference to. e.g. channel for selling product offerings, channel for opening a trouble ticket etc..",渠道引用,用于简要引用一个交互渠道，如网上营业厅、实体店、客服热线等。
OrderItemActionType,action to be performed on the product,订单项操作类型,定义了对订单中的产品可以执行的操作，例如add（新增）、modify（修改）、delete（删除）。
SocialContactMedium,,社交媒体联系方式,专门用于表示社交媒体账号的联系方式，如Twitter、微信等。
GeographicSiteFeature,,地理站点特征,描述地理站点的一个特定功能或属性，例如“有WiFi覆盖”。
bbox,A bounding box array that contains the geometry. The axes order follows the axes order of the geometry,边界框 (GeoJSON),GeoJSON标准格式：一个定义几何图形边界范围的坐标数组。
positionArray,GeoJSON: An array of positions,坐标数组 (GeoJSON),GeoJSON标准格式：一个由多个坐标点组成的数组。
position,GeoJSON: A single position,坐标点 (GeoJSON),GeoJSON标准格式：代表一个位置的单个坐标点。
linearRing,GeoJSON: An array of four or more positions where the first equals the last,线性环 (GeoJSON),GeoJSON标准格式：一个闭合的线，由至少四个坐标点组成，且第一个点和最后一个点坐标相同。
AssociationSpecificationRef,reference to an AssociationSpecification object,关联规约引用,用于简要引用一个定义实体间关联关系的模板或规则。
AgreementItemRef,,协议项引用,用于简要引用协议（Agreement）中的一个具体条款或项目。
ServiceSpecificationRef,,服务规格引用,用于简要引用一个服务规格（Service Specification），即服务的设计蓝图或模板。
ProductStatusType,Possible values for the status of the product,产品状态类型,定义一个产品实例可能处于的各种业务状态，例如“激活”、“暂停”、“终止”。
ItemActionType,action to be performed on the entity managed by the item,项目操作类型,定义了对某个项目（Item）可以执行的通用操作，如add（新增）、modify（修改）、delete（删除）。
BillingAccountRef,,计费账户引用,用于简要引用一个用于计费和支付的账户。
RelatedOrderItem,,关联订单项,描述订单项之间的关系，例如一个订单项依赖于另一个。
Price,,价格,描述一个价格的详细信息，可能包含一次性费用、周期性费用、税费等。
IntentExpression,,意图表达式,用特定语言（如JSON-LD）来结构化地表达一个业务意图（Intent）。
TaskStateType,Possible values for the state of a task,任务状态类型,定义了一个任务在其生命周期中所处的各种状态，例如“待处理”、“进行中”、“已完成”。
EntitySpecification,,实体规约,定义一个实体的模板，描述其通用的属性、关系和约束。
GeographicAddressRelationship,,地理地址关系,定义不同地理地址之间的关系。
GeographicSiteRef,,地理站点引用,用于简要引用一个地理站点（如一栋建筑或一个数据中心）。
TargetEntitySchema,The reference object to the schema and type of target entity which is described by a specification,目标实体结构,描述规约所定义的目标实体的结构（Schema）和类型（Type）。
GeographicSiteRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the GeographicSite entity and not the GeographicSiteRefOrValue class itself",地理站点引用或值,一个灵活的模型，既可以包含一个完整的地理站点信息（值），也可以只包含对一个已存在站点的引用。
EntitySpecificationRelationship,"A migration, substitution, dependency or exclusivity relationship between/among entity specifications.",实体规约关系,定义实体规约（模板）之间的关系，如替代、依赖或排他关系。
PriceAlteration,,价格变更,描述对一个基础价格的修改，例如折扣、附加费或价格覆盖。
ProductRelationship,,产品关系,描述不同产品实例之间的关系，例如一个产品是另一个产品的附加组件。
ProductPrice,,产品价格,描述一个产品实例的价格信息，包括基础价格和各种价格变更。
ProductRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Product entity and not the ProductRefOrValue class itself",产品引用或值,一个灵活的模型，既可以包含一个完整的产品实例信息（值），也可以只包含对一个已存在产品的引用。
ProductTerm,,产品条款,描述与产品相关的条款和条件，例如合同期限、使用限制等。
RelatedEntity,,关联实体,描述与当前实体相关的另一个实体，并定义两者间的关系。
ResourceSpecificationRef,,资源规格引用,用于简要引用一个资源规格（Resource Specification），即资源的设计蓝图或模板。
MultiPoint,GeoJSON: A collection of Points,多点 (GeoJSON),GeoJSON标准格式：由多个坐标点（Point）组成的集合。
Point,GeoJSON: A single position,点 (GeoJSON),GeoJSON标准格式：代表一个位置的单个坐标点。
MultiLineString,GeoJSON: A collection of distinct LineStrings,多线 (GeoJSON),GeoJSON标准格式：由多条独立的线（LineString）组成的集合。
LineString,GeoJSON: A collection of Points forming a connected line,线 (GeoJSON),GeoJSON标准格式：由一系列坐标点连接而成的线。
Polygon,GeoJSON: An array of linear rings,多边形 (GeoJSON),GeoJSON标准格式：由一个或多个线性环（linear ring）组成的区域。
CategoryRef,,分类引用,用于简要引用一个分类或类别。
MultiPolygon,GeoJSON: A collection of Polygons,多多边形 (GeoJSON),GeoJSON标准格式：由多个多边形（Polygon）组成的集合。
Product,,产品,描述一个客户已订购并正在使用的具体产品实例。
RelatedEntityRefOrValue,,关联实体引用或值,一个灵活的模型，既可以包含一个完整的关联实体信息，也可以只包含对一个已存在实体的引用。
EntityRefOrValue,,实体引用或值,一个灵活的模型，既可以包含一个完整的实体信息，也可以只包含对一个已存在实体的引用。
RelatedServiceOrderItem,,关联服务订单项,描述服务订单中不同订单项之间的关系。
ServiceRelationship,,服务关系,描述不同服务实例之间的关系，例如一个服务依赖于另一个服务。
ServiceRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Service entity and not the ServiceRefOrValue class itself",服务引用或值,一个灵活的模型，既可以包含一个完整的服务实例信息（值），也可以只包含对一个已存在服务的引用。
ServiceStateType,Valid values for the lifecycle state of the service,服务状态类型,定义一个服务在其生命周期中所处的各种状态，例如“已设计”、“活动”、“已终止”。
ServiceOperatingStatusType,Valid values for the Operating status of the service,服务运行状态类型,定义服务的实际运行状态，例如是否正常工作或存在故障。
ErrorMessage,,错误消息,用于在批量操作中报告单个操作的错误信息。
PaymentRef,"If an immediate payment has been done at the product order submission, the payment information are captured and stored (as a reference) in the order.",支付引用,用于简要引用一笔支付记录。
IntentSpecificationRef,,意图规约引用,用于简要引用一个意图规约（模板），该规约定义了意图的参数和约束。
Service,,服务,描述一个客户正在使用的具体服务实例，是产品的技术实现。
ResourceOperationalStateType,ResourceOperationalStateType enumerations; values defined by ITU X.731: 'disable': The resource is totally inoperable and unable to provide service to the user(s); 'enable': The resource is partially or fully operable and available for use.,资源操作状态类型,资源的实际运行状态：disable（不可用）或enable（可用）。
RelatedParty,,关联参与方,描述与当前实体相关的参与方（个人或组织），并定义两者间的关系。
Expression,,表达式,用于以结构化方式表示一个意图。
ExpressionLanguageEnum,Possible values for the serialized Expression language of an intent or Intent report,表达式语言枚举,定义用于序列化意图表达式的语言类型，例如JsonLd或Turtle。
LogicalResource,,逻辑资源,描述一个非物理的、抽象的资源，例如IP地址或软件许可证。
ResourceRefOrValue,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Resource entity and not the ResourceRefOrValue class itself",资源引用或值,一个灵活的模型，既可以包含一个完整的资源信息（值），也可以只包含对一个已存在资源的引用。
FeatureSpecificationRelationship,,功能特性规约关系,定义不同功能特性规约（模板）之间的关系。
AppointmentRef,,预约引用,用于简要引用一个预约记录，例如上门安装服务预约。
ResourceUsageRef,ResourceUsage reference. ResourceUsage is usage event for Resource.,资源使用量引用,用于简要引用一条资源使用量事件的记录。
FeatureSpecification,,功能特性规约,定义一个功能特性的模板，描述其通用属性和约束。
ResourceStatusType,ResourceStatusType enumerations,资源状态类型,资源的复合状态，结合了管理状态、运行状态和使用状态。
ResourceAdministrativeStateType,ResourceAdministrativeStateType enumerations; values defined by ITU X.731: 'locked': The resource is administratively prohibited from performing services for its users; 'shutdown': Use of the resource is administratively permitted to existing instances of use only. While the system remains in the shutting down state the manager may at any time cause the managed object to revert to the unlocked state; 'unlocked': The resource is administratively permitted to perform services for its users. This is independent of its inherent operability.,资源管理状态类型,管理员设置的资源状态：locked（锁定）、shutdown（关闭中）或unlocked（解锁）。
Resource,,资源,描述一个用于交付服务的物理或非物理资产，如设备、网络端口或软件。
ResourceRelationship,,资源关系,描述不同资源之间的关系，例如一个资源包含另一个资源。
ProductRelationshipType,Possible values for product relationship - This is informative information and implementation are free to use distinct.,产品关系类型,定义产品关系的类型，例如“依赖于”、“捆绑”等，此为参考性信息。
ProductOrderRef,A reference to an existing Product Order.,产品订单引用,用于简要引用一个已存在的产品订单。
Reference,Reference schema .,引用,一个通用的引用模型，包含ID和链接（href）。
JsonLdExpression,,JsonLd表达式,使用JSON-LD格式表示的意图表达式。
TurtleExpression,,Turtle表达式,使用Turtle格式表示的意图表达式。
RelatedChannel,,关联渠道,描述与当前实体相关的渠道，并定义两者间的关系。
RelatedResourceOrderItem,,关联资源订单项,描述资源订单中不同订单项之间的关系。
PartyAccountRef,,参与方账户引用,用于简要引用一个与参与方关联的账户。
AgreementSpecificationRef,,协议规约引用,用于简要引用一个协议规约（模板）。
ResourceUsageStateType,"ResourceUsageStateType enumerations; values defined by ITU X.731: 'idle': The resource is not currently in use; 'active': The resource is in use, and has sufficient spare operating capacity to provide for additional users simultaneously; 'busy': The resource is in use, but it has no spare operating capacity to provide for additional users at this instant.",资源使用状态类型,资源当前的使用状态：idle（空闲）、active（活动）或busy（繁忙）。
DocumentSpecification,,文档规约,定义一个文档的模板，描述其结构和内容要求。
DocumentRefOrValue,,文档引用或值,一个灵活的模型，既可以包含一个完整的文档信息（值），也可以只包含对一个已存在文档的引用。
DocumentRef,,文档引用,用于简要引用一个文档。
Document,,文档,描述一个文档的完整信息，如类型、大小、链接等。
ResourceSpecification,,资源规约,资源的设计蓝图或模板，定义了一类资源的通用特征、能力和规则。
ProductOrderItemRef,,产品订单项引用,用于简要引用一个产品订单中的具体项目。
GeoJsonPolygon,A GeoJsonPolygon is an array of linear rings,地理多边形 (GeoJSON),GeoJSON标准格式：由一个或多个线性环（linear ring）组成的区域。
GeoJsonPoint,A GeoJsonPoint is a single point,地理点 (GeoJSON),GeoJSON标准格式：代表一个位置的单个坐标点。
GeoJsonMultiPolygon,A GeoJson MultiPolygon is an array of polygons,地理多多边形 (GeoJSON),GeoJSON标准格式：由多个多边形（Polygon）组成的集合。
GeoJsonMultiPoint,GeoJson MultiPoint is a one or more GeoJSON points,地理多点 (GeoJSON),GeoJSON标准格式：由多个坐标点（Point）组成的集合。
GeoJsonMultiLineString,GeoJson MultiLineString is a one or more GeoJSON LineStrings,地理多线 (GeoJSON),GeoJSON标准格式：由多条独立的线（LineString）组成的集合。
GeoJsonLineString,GeoJson LineString is a collection of points forming a connected line,地理线 (GeoJSON),GeoJSON标准格式：由一系列坐标点连接而成的线。
ContextUpdate,,上下文更新,用于描述对API上下文（Context）信息的更新。
Context,,上下文,描述API调用或数据交换的背景信息，例如@base， @vocab等。
TaxItem,,税项,描述一笔费用中的具体税项信息，如税种和税额。
ProductOrderStateType,Possible values for the state of the order,产品订单状态类型,定义了一个产品订单在其生命周期中所处的各种状态，例如“待处理”、“已完成”、“已取消”。
ServiceUsageRef,,服务使用量引用,用于简要引用一条服务使用量的记录。
OrderItemRelationship,,订单项关系,描述订单中不同订单项之间的关系，例如依赖关系。
FinancialAccountRef,AccountReceivable reference. An account of money owed by a party to another entity in exchange for goods or services that have been delivered or used. An account receivable aggregates the amounts of one or more party accounts (billing or settlement) owned by a given party.,财务账户引用,用于简要引用一个财务账户，通常指应收账款账户。
Monitor,,监控,用于定义一个监控任务或监控点，以跟踪特定指标或状态。
JsonLdExpressionValue,Json LD expression value schema,JsonLd表达式值,使用JSON-LD格式表示的表达式的值。
ExportJobStateChangeEvent,,导出任务状态变更事件,当一个导出任务的状态发生变化时，系统发出的通知事件。
HeaderItem,An item typically included in a request or response,消息头项目,描述请求或响应消息头中的一个具体项目（键值对）。
graph,,图谱 (JSON-LD),JSON-LD中的一个关键字，用于表示一组节点和边的集合。
common,,通用定义,通常用于存放API中多个模型共用的通用属性或定义。
TargetResourceSchema,The reference object to the schema and type of target resource which is described by resource specification,目标资源结构,描述资源规约所定义的目标资源的结构（Schema）和类型（Type）。
Response,A response to a request,响应,API请求的通用响应结构。
Request,A response to a request,请求,API的通用请求结构。
RelatedPlaceRef,,关联地点引用,用于简要引用一个与当前实体相关的地点。
QuoteRef,Quote reference. It's a Quote that has been executed previously.,报价引用,用于简要引用一个之前已生成的报价单。
RelatedContactMedium,,关联联系方式,描述与当前实体相关的联系方式，并定义两者间的关系。
RdfXmlExpression,,RdfXml表达式,使用RDF/XML格式表示的表达式。
ExportJob,,导出任务,定义一个数据导出任务的详细信息，如导出的文件URL、格式等。
ExecutionStateType,Possible values for the state of the execution,执行状态类型,定义一个操作或任务的执行状态，例如“运行中”、“成功”、“失败”。
JobStateType,Valid values for the state of a batch job (e.g. catalog import),批处理任务状态类型,定义一个批处理任务（如数据导入）的生命周期状态。
ExportJobStateChangeEventPayload,ExportJobStateChangeEventPayload generic structure,导出任务状态变更事件数据,导出任务状态变更事件所携带的具体数据内容。
ImportJobStateChangeEventPayload,ImportJobStateChangeEventPayload generic structure,导入任务状态变更事件数据,导入任务状态变更事件所携带的具体数据内容。
ImportJobStateChangeEvent,,导入任务状态变更事件,当一个导入任务的状态发生变化时，系统发出的通知事件。
ImportJobCreateEventPayload,ImportJobCreateEventPayload generic structure,导入任务创建事件数据,导入任务创建事件所携带的具体数据内容。
ImportJobCreateEvent,,导入任务创建事件,当一个导入任务被创建时，系统发出的通知事件。
ImportJob,,导入任务,定义一个数据导入任务的详细信息，如导入的文件URL、状态等。
BucketRef,,资源桶引用,用于简要引用一个资源桶（例如流量包、分钟数包）。
ResourceSpecificationRelationship,,资源规约关系,定义资源规约（模板）之间的关系，如依赖、替代关系。
BundledProductOfferingOption,,组合产品选项,定义了组合产品（套餐）中包含的可选或必选项目的数量范围。
LogicalResourceSpecification,"This is a derived class of ResourceSpecification, and is used to define the invariant characteristics and behavior (attributes, methods, constraints, and relationships) of a LogicalResource.",逻辑资源规约,逻辑资源（如IP地址、软件许可证）的设计蓝图或模板。
BundledProductOffering,,组合产品目录,一种可销售的产品，它由多个其他产品目录捆绑而成，例如“宽带+电话”套餐。
PermissionSpecificationSetRef,A PermissionSpecificationSet defines a set of permissions that can be attached to a party role specification. The resulting permissions will then apply to all users that adopt this party role.,权限规约集引用,用于简要引用一组预定义的权限集合。
CustomerBillRef,Bill reference.,客户账单引用,用于简要引用一份客户账单。
ResourceUsageSpecificationRef,"ResourceUsageSpecification reference. ResourceUsageSpecification is a detailed description of a usage event that are of interest to the business and can have charges applied to it. It is comprised of characteristics, which define all attributes known for a particular type of usage.",资源使用量规约引用,用于简要引用一个资源使用量规约，该规约定义了如何衡量和计费一类资源的使用。
